2017-10-22 23:10:03,893 [onode        27] [INFO ]  logging for the first time 
2017-10-22 23:10:07,544 [replica_0    58] [INFO ]  Replica SETUP done. Clients : [<Client:c3002#client_0>, <Client:85802#client_1>], Olympus : {<Olympus:34802#onode>}, ReplicaState : ACTIVE
2017-10-22 23:10:07,545 [replica_0    143] [INFO ]  failures defined in config file failureDS :{}
2017-10-22 23:10:07,545 [replica_0    87] [DEBUG]  REPLICA SETUP DONE!!
2017-10-22 23:10:07,549 [replica_1    58] [INFO ]  Replica SETUP done. Clients : [<Client:c3002#client_0>, <Client:85802#client_1>], Olympus : {<Olympus:34802#onode>}, ReplicaState : ACTIVE
2017-10-22 23:10:07,550 [replica_1    143] [INFO ]  failures defined in config file failureDS :{}
2017-10-22 23:10:07,551 [replica_1    87] [DEBUG]  REPLICA SETUP DONE!!
2017-10-22 23:10:07,555 [replica_2    58] [INFO ]  Replica SETUP done. Clients : [<Client:c3002#client_0>, <Client:85802#client_1>], Olympus : {<Olympus:34802#onode>}, ReplicaState : ACTIVE
2017-10-22 23:10:07,556 [replica_2    143] [INFO ]  failures defined in config file failureDS :{}
2017-10-22 23:10:07,557 [replica_2    87] [DEBUG]  REPLICA SETUP DONE!!
2017-10-22 23:10:07,563 [client_0     39] [INFO ]  In Client SETUP
2017-10-22 23:10:07,564 [client_0     49] [INFO ]  Client setup finished. Operations for client : <Client:c3002#client_0> => ["put('movie','star')", "append('movie',' wars')", "get('movie')"]
2017-10-22 23:10:07,565 [client_0     52] [INFO ]  Client start called. Inside run()
2017-10-22 23:10:07,566 [client_0     55] [DEBUG]  Recieved Setup
2017-10-22 23:10:07,567 [client_0     117] [INFO ]  The Client:<Client:c3002#client_0>. workload to be performed : ["put('movie','star')", "append('movie',' wars')", "get('movie')"]
2017-10-22 23:10:07,568 [client_0     125] [INFO ]  *************************************
2017-10-22 23:10:07,569 [client_0     126] [INFO ]  process started for the operation : put('movie','star')
2017-10-22 23:10:07,569 [client_1     39] [INFO ]  In Client SETUP
2017-10-22 23:10:07,570 [client_0     277] [INFO ]  Executing Operation in dictonary. operation : put('movie','star')
2017-10-22 23:10:07,570 [client_1     49] [INFO ]  Client setup finished. Operations for client : <Client:85802#client_1> => ["put('movie','star')", "append('movie',' wars')", "get('movie')"]
2017-10-22 23:10:07,571 [client_0     66] [INFO ]  Sending operations at Replicas, requestId: ed45b61a-006e-4948-83ea-15365f7702be, operation : put('movie','star')
2017-10-22 23:10:07,572 [client_0     158] [DEBUG]  orignal message : ed45b61a-006e-4948-83ea-15365f7702be, signedMsg : b'L\xd5\xde \x9f\x8c/\xa7\xc3l\xa8\xee\x85\xc9[\xbc\x10\xf0\xfb2\x1c\x16\xc5\x91\xcc\x08&\x89\x90\xb9s\xd7\xd2\xe0o\xfb\xc5\x94\xa9;J90D\xabr\xe4\x19\xe3/\xbe{\xd5\xcb\x9652\xcd\\\xfc\xb5Z\x82\x01ed45b61a-006e-4948-83ea-15365f7702be'
2017-10-22 23:10:07,572 [client_1     52] [INFO ]  Client start called. Inside run()
2017-10-22 23:10:07,573 [client_0     158] [DEBUG]  orignal message : put('movie','star'), signedMsg : b'\x8eU\xdd\x97a\xd1>\xfe\x11\\\x98\x8a\x15\xf3\xf6\x1c\x80\xd8\xc4\xd6!RsE\x87l\xb4O=\xc0\x81y\x1dS\x9a\xf2\xf5\xf3|\x04\x9d"\xde\xcf\xf4\xc6\xf0}j\xcec\'b\xd1Ie$\xeb\xe7"\x81:\x87\x01put(\'movie\',\'star\')'
2017-10-22 23:10:07,573 [client_1     55] [DEBUG]  Recieved Setup
2017-10-22 23:10:07,573 [onode        31] [DEBUG]  *********RUN : Olympus***********
2017-10-22 23:10:07,574 [client_1     117] [INFO ]  The Client:<Client:85802#client_1>. workload to be performed : ["put('movie','star')", "append('movie',' wars')", "get('movie')"]
2017-10-22 23:10:07,574 [onode        33] [DEBUG]  *********Received SET_UP from Client***********
2017-10-22 23:10:07,575 [client_1     125] [INFO ]  *************************************
2017-10-22 23:10:07,576 [client_1     126] [INFO ]  process started for the operation : put('movie','star')
2017-10-22 23:10:07,576 [client_1     277] [INFO ]  Executing Operation in dictonary. operation : put('movie','star')
2017-10-22 23:10:07,577 [client_1     66] [INFO ]  Sending operations at Replicas, requestId: 10ee4619-1471-4469-927a-e2d0afc44b61, operation : put('movie','star')
2017-10-22 23:10:07,578 [client_1     158] [DEBUG]  orignal message : 10ee4619-1471-4469-927a-e2d0afc44b61, signedMsg : b"\xb8\xd1\x11\x14\xd8\x16V\xc0,\xc7\xab\xb3\xcd$#\xa1!\x1f5/\xcd\xdd<(\r\xbbXd\x13V\xe5,[:^|'\xbca\x8c\x82\x97\xf2\xba\xb2\xc5\xceq\x0ca\x8a\xf7\xeb|\xd5\x82\xfb\xa7z\x13J\xd6G\x0810ee4619-1471-4469-927a-e2d0afc44b61"
2017-10-22 23:10:07,579 [replica_0    126] [DEBUG]  getUnsignedData for request_id_en : b'L\xd5\xde \x9f\x8c/\xa7\xc3l\xa8\xee\x85\xc9[\xbc\x10\xf0\xfb2\x1c\x16\xc5\x91\xcc\x08&\x89\x90\xb9s\xd7\xd2\xe0o\xfb\xc5\x94\xa9;J90D\xabr\xe4\x19\xe3/\xbe{\xd5\xcb\x9652\xcd\\\xfc\xb5Z\x82\x01ed45b61a-006e-4948-83ea-15365f7702be'
2017-10-22 23:10:07,579 [client_1     158] [DEBUG]  orignal message : put('movie','star'), signedMsg : b"\xe7%?J\xf5\x11R\x1e\xae\xf7X\x0eq\xb9t\x91\x9e\xc5\x02mi\x8f\xd6\x1e:\xd7\x04<\x88<\xe3\xf3L\xb1\xa7\t\xebKk\xb1p ?\xc0\xbedM\x0f\x8bm<^*:E`\xc2\xaa:\xe5ty\x85\x02put('movie','star')"
2017-10-22 23:10:07,580 [replica_0    138] [DEBUG]  request_id : ed45b61a-006e-4948-83ea-15365f7702be, unsigned successfully
2017-10-22 23:10:07,582 [replica_0    321] [INFO ]  PERFORM_OPERATION at HEAD Replica request_id : ed45b61a-006e-4948-83ea-15365f7702be, operation : put('movie','star'), client : <Client:c3002#client_0>
2017-10-22 23:10:07,584 [replica_0    277] [INFO ]  Executing Operation in dictonary. operation : put('movie','star')
